X,Y,Z,Name,CODE
2009591.854,328372.3469,6472.448635,062822_03,HWM-G
2009589.659,328371.1093,6472.932635,062822_04,HWM-G
2009585.576,328366.7142,6473.192635,062822_05,HWM-G
2009603.526,328350.1072,6472.952635,062822_07,HWM-G
2009612.433,328329.0052,6471.204635,062822_08,HWM-G
2009621.88,328312.6038,6471.512635,062822_09,HWM-G
2009565.877,328406.6413,6475.754635,062822_17,HWM-G
2009563.463,328406.6444,6476.195635,062822_18,HWM-G
2009642.458,328399.2748,6473.124635,062822_19,HWM-G
2009643.506,328399.9314,6473.431635,062822_20,HWM-G
2009648.937,328399.977,6472.925635,062822_21,HWM-G
2009654.837,328401.3932,6472.896635,062822_22,HWM-G
2009663.954,328392.3295,6472.932635,062822_23,HWM-G
2009667.446,328385.4188,6473.201635,062822_24,HWM-G
2009690.967,328357.8488,6470.609635,062822_25,HWM-G
2009618.438,328430.529,6475.470635,062822_28,HWM-G
2009616.525,328445.2848,6474.459635,062822_29,HWM-G
2009615.775,328453.248,6476.377635,062822_30,HWM-G
2009614.436,328456.2425,6477.203635,062822_31,HWM-G
2009595.873,328467.9183,6477.686635,062822_32,HWM-G
2009585.956,328473.8712,6477.474635,062822_33,HWM-G
2009579.118,328476.796,6477.164635,062822_35,HWM-G
2009518.06,328424.5769,6477.626635,062822_41,HWM-G
2009497.484,328427.318,6479.393635,062822_42,HWM-G
2009467.971,328433.4965,6481.953635,062822_43,HWM-G
